Title,URL,Time Added,Tags
"Scaling Kubernetes to 7,500 nodes",https://openai.com/research/scaling-kubernetes-to-7500-nodes,2023-09-27 21:57:27,software
"Scaling Kubernetes to 2,500 nodes",https://openai.com/research/scaling-kubernetes-to-2500-nodes,2023-09-27 21:54:46,software
CodeQL zero to hero part 1: the fundamentals of static analysis for vulnera,https://github.blog/2023-03-31-codeql-zero-to-hero-part-1-the-fundamentals-of-static-analysis-for-vulnerability-research/,2023-09-15 16:17:33,"cyber,software"
(4) An Engineer&#039;s Guide to Data Contracts - Pt. 1,https://dataproducts.substack.com/p/an-engineers-guide-to-data-contracts,2023-09-07 18:17:13,software
JSX was a Mistake | Kyle Shevlin,https://kyleshevlin.com/jsx-was-a-mistake,2023-06-17 17:47:16,software
Neuralink and the Brain&#039;s Magical Future — Wait But Why,https://waitbutwhy.com/2017/04/neuralink.html,2023-04-12 22:48:17,
The Three Internets | Council on Foreign Relations,https://www.cfr.org/podcasts/three-internets,2023-04-12 17:16:56,
17 Open Source Projects at AWS Written in Rust - DZone,https://dzone.com/articles/17-open-source-projects-at-aws-written-in-rust,2023-04-07 14:25:22,software
Fog of war: how the Ukraine conflict transformed the cyber threat landscape,https://blog.google/threat-analysis-group/fog-of-war-how-the-ukraine-conflict-transformed-the-cyber-threat-landscape/,2023-04-03 02:12:44,cyber
“The Door Problem” – Liz England,https://lizengland.com/blog/2014/04/the-door-problem/,2023-04-03 02:08:05,software
&quot;Reverse Engineering for Beginners&quot; free book,https://beginners.re/,2023-01-11 04:36:00,"cyber,project"
Rooms and Mazes: A Procedural Dungeon Generator – journal.stuffwithstuff.co,https://journal.stuffwithstuff.com/2014/12/21/rooms-and-mazes/,2023-01-08 17:18:07,"project,software"
s1r1us - Prototype Pollution,https://blog.s1r1us.ninja/research/PP,2022-11-08 19:40:12,cyber
No internet connection,https://hackernoon.com/domain-fronting-101-what-is-domain-fronting-and-how-does-it-work-es2v37pr,2022-11-06 22:55:18,"cyber,project"
manoelt/50M_CTF_Writeup: $50 Million CTF from Hackerone - Writeup,https://github.com/manoelt/50M_CTF_Writeup,2022-11-06 19:51:39,cyber
"Exploiting Null Byte Buffer Overflow for a ,000 bounty | Sam Curry",https://samcurry.net/filling-in-the-blanks-exploiting-null-byte-buffer-overflow-for-a-40000-bounty/?utm_source=firefox_pocket_save_button,2022-11-23 00:07:19,cyber
Project Zero: A deep dive into an NSO zero-click iMessage exploit: Remote C,https://googleprojectzero.blogspot.com/2021/12/a-deep-dive-into-nso-zero-click.html,2022-11-19 21:32:06,cyber
Hidden OAuth attack vectors | PortSwigger Research,https://portswigger.net/research/hidden-oauth-attack-vectors,2022-11-19 21:19:54,cyber
"I tried to write about containers, but realized I needed to understand imag",https://www.lacework.com/blog/i-tried-to-write-about-containers-but-realized-i-needed-to-understand-images-docker-and-kubernetes-first/,2022-11-19 21:19:46,cyber
XSS via a spoofed React element,http://danlec.com/blog/xss-via-a-spoofed-react-element,2022-11-14 07:54:08,cyber
What you need to know about the latest critical OpenSSL vulnerability | Lac,https://www.lacework.com/blog/what-you-need-to-know-about-the-latest-critical-openssl-vulnerability/,2022-11-14 03:58:48,cyber
